Country Name,Continent,Displaced,GDPperCapita,HumanDevelopmentIndex,HumanFreedomIndex,CentroidLatitude,CentroidLongitude
Afghanistan,Asia,5336564,585.8500638,50,,33.93911,67.709953
Albania,Europe,30918,4537.862492,79, 7.66 ,41.153332,20.168331
Algeria,Africa,10448,4123.389937,75, 5.05 ,28.033886,1.659626
Andorra,Europe,0,39146.54884,86,,42.546245,1.601554
Angola,Africa,33831,4170.31228,58, 5.56 ,-11.202692,17.873887
Antigua and Barbuda,CentralAmerica,153,15021.73818,78,,17.060816,-61.796428
Argentina,SouthAmerica,466,14401.97485,83, 6.46 ,-38.416097,-63.616672
Armenia,Europe,25697,3936.79832,76, 7.36 ,40.069099,45.038189
Australia,Oceania,12,53799.93809,94, 8.60 ,-25.274398,133.775136
Austria,Europe,27,47290.91165,91, 8.52 ,47.516231,14.550072
Azerbaijan,Asia,633214,4131.61831,76, 6.10 ,40.143105,47.576927
Bahamas,CentralAmerica,608,30762.01244,81, 7.40 ,25.03428,-77.39628
Bahrain,Asia,673,23655.0356,85, 6.69 ,25.930414,50.637772
Bangladesh,Asia,84900,1516.513423,61, 5.92 ,23.684994,90.356331
Barbados,CentralAmerica,245,16788.68392,80, 6.83 ,13.193887,-59.543198
Belarus,Europe,6510,5726.029673,81,,53.709807,27.953389
Belgium,Europe,86,43323.80734,92, 8.31 ,50.503887,4.469936
Belize,CentralAmerica,267,4905.506284,71, 6.43 ,17.189877,-88.49765
Benin,,1697,829.7972306,52, 6.61 ,9.30769,2.315834
Bhutan,Asia,8333,3110.230113,61, 6.87 ,27.514162,90.433601
Bolivia,SouthAmerica,1373,3393.955818,69, 6.58 ,-16.290154,-63.588653
Bosnia and Herzegovina,Europe,167032,5180.636301,77, 7.27 ,43.915886,17.679076
Botswana,Africa,365,7595.59585,72, 7.12 ,-22.328474,24.684866
Brazil,SouthAmerica,7637,9821.407686,76, 6.32 ,-14.235004,-51.92528
Brunei Darussalam,,10,28290.5852,85, 6.42 ,4.535277,114.727669
Bulgaria,Europe,1016,8031.598442,81, 7.83 ,42.733883,25.48583
Burkina Faso,Africa,10581,670.7059131,42, 6.64 ,12.238333,-1.561593
Burundi,Africa,791798,320.0868701,42, 5.27 ,-3.373056,29.918886
Cabo Verde,,74819,3209.69112,64,,16.002082,-24.013197
Cambodia,Asia,183,1384.423187,58, 7.23 ,12.565679,104.990963
Cameroon,Africa,13800,1446.702895,56, 5.44 ,7.369722,12.354722
Canada,NorthAmerica,290997,45032.11991,93, 8.54 ,56.130366,-106.346771
Central African Republic,Africa,131,418.411287,37, 5.16 ,6.611111,20.939444
Chad,Africa,1436263,669.8864259,40, 5.38 ,15.454166,18.732207
Chile,SouthAmerica,157691,15346.4497,84, 8.00 ,-35.675147,-71.542969
China,Asia,842,8826.994096,75, 6.01 ,35.86166,104.195397
Colombia,SouthAmerica,7901883,6301.589878,75, 6.65 ,4.570868,-74.297333
"Congo, Dem. Rep.",Africa,5100000,457.8473868,61, 5.14 ,-4.038333,21.758664
"Congo, Rep.",Africa,,1658.043625,46, 5.73 ,-0.228021,15.827659
Costa Rica,CentralAmerica,680,11630.6684,79, 7.89 ,9.748917,-83.753428
Cote d'Ivoire,Africa,,1662.442467,49, 6.38 ,7.539989,-5.54708
Croatia,Europe,33200,13294.51493,83, 7.75 ,45.1,15.2
Cuba,CentralAmerica,18577,,78,,21.521757,-77.781167
Cyprus,Europe,20,25233.57098,87, 8.21 ,35.126413,33.429859
Czech Republic,Europe,1573,20368.13856,89, 8.21 ,49.817492,15.472962
Denmark,Europe,16,56307.5083,93, 8.56 ,56.26392,9.501785
Djibouti,Africa,3039,1927.589706,48,,11.825138,42.590275
Dominica,,84,7609.614349,72,,15.414999,-61.370976
Dominican Republic,CentralAmerica,3570,7052.258839,74, 7.00 ,18.735693,-70.162651
Ecuador,SouthAmerica,18570,6198.947323,75, 6.68 ,-1.831239,-78.183406
Egypt,Africa,36705,2412.727082,70, 4.79 ,26.820553,30.802498
El Salvador,CentralAmerica,206471,3889.308769,67, 7.09 ,13.794185,-88.89653
Equatorial Guinea,Africa,229,9850.013585,59,,1.650801,10.267895
Eritrea,Africa,565118,,44,,15.179384,39.782334
Estonia,Europe,322,19704.65504,87,,58.595272,25.013607
Eswatini,Africa,,3224.393024,59,,-26.522503,31.465866
Ethiopia,Africa,1303754,767.5634778,45, 5.39 ,9.145,40.489673
Fiji,Asia,1413,5589.388833,74, 7.18 ,-16.578193,179.414413
Finland,Europe,6,45703.32787,92, 8.58 ,61.92411,25.748151
France,Europe,184,38476.65864,90, 8.04 ,46.227638,2.213749
Gabon,Africa,891,7220.687235,70, 5.52 ,-0.803689,11.609444
Gambia,Africa,36797,483.0224586,46, 6.35 ,13.443182,-15.310139
Georgia,Europe,301070,4078.254879,78, 7.87 ,42.315407,43.356892
Germany,Europe,236,44469.90906,94, 8.45 ,51.165691,10.451526
Ghana,Africa,34474,1641.486625,59, 7.10 ,7.946527,-1.023194
Greece,Europe,194,18613.42387,87, 7.21 ,39.074208,21.824312
Grenada,,,10376.22703,77,,12.262776,-61.604171
Guatemala,CentralAmerica,88999,4470.989572,65, 7.11 ,15.783471,-90.230759
Guinea,Africa,54858,825.3449298,46, 5.60 ,9.945587,-9.696645
Guinea-Bissau,Africa,5363,723.6586216,46, 6.28 ,11.803749,-15.180413
Guyana,SouthAmerica,733,4725.319063,65, 6.53 ,4.860416,-58.93018
Haiti,CentralAmerica,109287,765.6839246,50, 6.83 ,18.971187,-72.285215
Honduras,CentralAmerica,251392,2480.125929,62, 6.79 ,15.199999,-86.241905
"Hong Kong SAR, China",,,46193.61452,93, 8.88 ,,
Hungary,Europe,4988,14224.84646,84, 7.74 ,47.162494,19.503304
Iceland,Europe,0,70056.87339,94, 8.12 ,53.41291,-8.24389
India,Asia,48485,1939.612984,64, 6.55 ,20.593684,78.96288
Indonesia,Asia,17848,3846.864323,69, 6.83 ,-0.789275,113.921327
"Iran, Islamic Rep.",Asia,196422,5415.209635,80, 4.83 ,32.427908,53.688046
Iraq,Asia,4809829,5165.714157,69,,33.223191,43.679291
Ireland,Europe,53,69330.69015,94,,53.41291,-8.24389
Israel,Asia,1161,40270.25135,90, 8.68 ,31.046051,34.851612
Italy,Europe,321,31952.97592,88, 7.68 ,41.87194,12.56738
Jamaica,CentralAmerica,3647,5109.552649,73, 8.02 ,18.109581,-77.297508
Japan,Asia,143,38428.09732,91, 7.22 ,36.204824,138.252924
Jordan,Asia,5640,4129.751671,74, 8.20 ,30.585164,36.238414
Kazakhstan,Asia,5903,8837.457302,80, 6.84 ,48.019573,66.923684
Kenya,Africa,13282,1507.814864,59, 6.84 ,-0.023559,37.906193
Kiribati,,0,1685.166939,61, 6.68 ,-3.370417,-168.734039
"Korea, Rep.",Asia,,29742.83886,90, 8.08 ,35.907757,127.766922
Kuwait,Asia,2045,29040.36371,80, 6.54 ,29.31166,47.481766
Kyrgyz Republic,Asia,5326,1219.824048,67, 6.41 ,41.20438,74.766098
Lao PDR,Asia,7282,2457.376266,60,,19.85627,102.495496
Latvia,Europe,270,15594.28602,85, 8.14 ,56.879635,24.603189
Lebanon,Asia,14574,8523.74955,76, 6.66 ,33.854721,35.862285
Lesotho,Africa,6,1181.811759,52, 6.33 ,-29.609988,28.233608
Liberia,Africa,9523,456.0530154,44,,6.428055,-9.429499
Libya,Africa,348853,7998.028819,71,,26.3351,17.228331
Liechtenstein,Europe,154,,92,,47.166,9.555373
Lithuania,Europe,0,16680.6781,86, 8.12 ,55.169438,23.881275
Luxembourg,Europe,,104103.0367,90, 8.30 ,49.815273,6.129583
Madagascar,Africa,356,449.7223819,52, 6.93 ,-18.766947,46.869107
Malawi,Africa,3576,338.4836424,48, 6.68 ,-13.254308,34.301525
Malaysia,Asia,9999,9944.9043,80, 6.50 ,4.210484,101.975766
Maldives,,85,10535.7947,72,,3.202778,73.22068
Mali,Africa,232239,824.5162257,43, 5.93 ,17.570692,-3.996166
Malta,Europe,0,26945.98388,88, 8.28 ,35.937496,14.375416
Marshall Islands,,7,3753.256293,71,,7.131474,171.184478
Mauritania,Africa,44035,1136.763975,52, 5.82 ,21.00789,-10.940835
Mauritius,Africa,353,10547.21683,79, 8.35 ,-20.348404,57.552152
Mexico,NorthAmerica,96733,8902.830823,77, 6.57 ,23.634501,-102.552784
Federated States of Micronesia,,,3187.55716,63,,7.425554,150.550812
Moldova,Europe,,2289.877719,70,,47.411631,28.369885
Mongolia,Asia,6395,3735.164302,74,,46.862496,103.846656
Montenegro,Europe,1467,7669.571906,81,,42.708678,19.37439
Morocco,Africa,9953,3007.242877,67, 6.41 ,31.791702,-7.09262
Mozambique,Africa,33976,415.7177167,44, 6.19 ,-18.665695,35.529562
Myanmar,Asia,1551716,1298.881989,58, 4.40 ,21.913965,95.956223
Namibia,Africa,1592,5227.18001,65, 6.95 ,-22.95764,18.49041
Nepal,Asia,21951,835.0798466,57, 6.70 ,28.394857,84.124008
Netherlands,Europe,103,48223.15549,93, 8.34 ,52.132633,5.291266
New Zealand,Oceania,61,42940.57829,92, 8.78 ,-40.900557,174.885971
Nicaragua,CentralAmerica,4194,2221.806445,66, 6.93 ,12.865416,-85.207229
Niger,Africa,153450,378.0603077,35, 6.06 ,17.607789,8.081666
Nigeria,Africa,2699501,1968.557681,53, 5.55 ,9.081999,8.675277
Norway,Europe,20,75504.56626,95, 8.54 ,60.472024,8.468946
Oman,Asia,54,15668.36663,82, 6.37 ,21.512583,55.923255
Pakistan,Asia,661801,1547.853414,56, 5.50 ,30.375321,69.345116
Palau,,6,13417.29026,80,,7.51498,134.58252
Palestina,Asia,110121,3094.725747,69,,31.952162,35.233154
Panama,CentralAmerica,145,15087.68163,79, 7.56 ,8.537981,-80.782127
Papua New Guinea,Asia,768,2555.853162,54, 6.55 ,-6.314993,143.95555
Paraguay,SouthAmerica,247,4365.526162,70, 7.11 ,-23.442503,-58.443832
Peru,SouthAmerica,6087,6571.928645,75, 7.59 ,-9.189967,-75.015152
Philippines,Asia,718995,2988.952703,70, 7.10 ,12.879721,121.774017
Poland,Europe,1897,13811.66424,87, 8.13 ,51.919438,19.145136
Portugal,Europe,180,21136.29721,85, 8.14 ,39.399872,-8.224454
Qatar,Asia,68,63505.80525,86, 6.33 ,25.354826,51.183884
Romania,Europe,4479,10813.7166,81, 7.99 ,45.943161,24.96676
Russian Federation,Europe,100256,10743.09659,82, 6.47 ,61.52401,105.318756
Rwanda,Africa,296543,748.39326,52, 6.46 ,-1.940278,29.873888
Samoa,Asia,11,4360.75395,71,,-13.759029,-172.104629
Sao Tome and Principe,,49,1912.970722,59,,0.18636,6.613081
Saudi Arabia,,2433,20760.90601,85, 5.35 ,23.885942,45.079162
Senegal,Africa,51743,1033.069906,51, 6.24 ,14.497401,-14.452362
Serbia,Europe,266322,5900.038108,79, 7.01 ,44.016521,21.005859
Seychelles,,10,15504.46446,80, - ,-4.679574,55.491977
Sierra Leone,Asia,11077,499.4262954,42, 6.12 ,8.460555,-11.779889
Singapore,Asia,102,57714.29663,93, 7.86 ,1.352083,103.819836
Slovakia,,1610,17604.95098,86, 8.08 ,48.669026,19.699024
Slovenia,Europe,29,23597.29173,90, 7.89 ,46.151241,14.995463
Solomon Islands,,163,2132.115058,55,,-9.64571,160.156194
Somalia,Africa,3203111,499.8168017,,,5.152149,46.199616
South Africa,Africa,2065,6160.734569,70,,-30.559482,22.937506
South Sudan,Africa,4363156,,39,,,
Spain,Europe,232,28156.81584,89, 8.01 ,40.463667,-3.74922
Sri Lanka,Asia,175865,4065.224874,77, 6.23 ,7.873054,80.771797
St. Kitts and Nevis,CentralAmerica,0,17090.15234,78,,17.357822,-62.782998
St. Lucia,CentralAmerica,0,9574.302496,75,,13.909444,-60.978893
St. Vincent and the Grenadines,,0,7185.179119,72,,12.984305,-61.287228
Sudan,Africa,3141676,2898.549346,50,,12.862807,30.217636
Suriname,,63,5900.556486,72, 7.17 ,3.919305,-56.027783
Sweden,Europe,24,53442.00828,93, 8.48 ,60.128161,18.643501
Switzerland,Europe,12,80189.69686,94, 8.81 ,46.818188,8.227512
Syrian Arab Republic,Africa,13288330,,54, 4.92 ,34.802075,38.996815
Tajikistan,Asia,4969,800.9669641,65, 6.66 ,38.861034,71.276093
Tanzania,Africa,,936.330768,54, 6.52 ,-6.369028,34.888822
Thailand,Asia,1491,6593.819806,76, 6.75 ,15.870032,100.992541
East Timor,Asia,14,2279.253204,63, 6.47 ,-8.874217,125.727539
Togo,Africa,11875,617.1766097,50, 5.38 ,8.619543,0.824782
Tonga,,141,3944.246001,73,,-21.178986,-175.198242
Trinidad and Tobago,CentralAmerica,629,16145.18457,78, 6.79 ,10.691803,-61.222503
Tunisia,Asia,4148,3490.828293,74, 6.26 ,33.886917,9.537499
Turkey,Europe,95167,10540.618,79, 7.12 ,38.963745,35.243322
Turkmenistan,Asia,1456,7355.831345,71, 6.43 ,38.969719,59.556278
Uganda,Africa,196534,604.0427482,52, 6.94 ,1.373333,32.290275
Ukraine,Europe,1977247,2639.824326,75, 6.24 ,48.379433,31.16558
United Arab Emirates,Asia,325,40698.84934,86, 8.49 ,23.424076,53.847818
United Kingdom,Europe,237,39720.44343,92, 8.27 ,55.378051,-3.435973
United States,NorthAmerica,2488,59531.66196,92, 7.97 ,37.09024,-95.712891
Uruguay,SouthAmerica,180,16245.59837,80,,-32.522779,-55.765835
Uzbekistan,Asia,6914,1504.226546,71,,41.377491,64.585262
Venezuela,SouthAmerica,502805,,76, 5.24 ,6.42375,-66.58973
Vietnam,Asia,341239,2343.124575,69, 6.27 ,14.058324,108.277199
Yemen,Africa,2187266,,45, 4.99 ,15.552727,48.516388
Zambia,Africa,413,1509.797013,59, 6.80 ,-13.133897,27.849332
Zimbabwe,Africa,39373,1079.608291,54, 4.95 ,-19.015438,29.154857
,,,,,,,
